assay_name	compound_pubchem_cid	assay_outcome	cid	smiles
tox21-ar-mda-kb2-luc-agonist-p1	CID_6702	1	6702	O=C3c1ccccc1C(=O)c2c3ccc(C)c2N
tox21-ar-mda-kb2-luc-agonist-p1	CID_5284587	1	5284587	OCC(=O)[C@@]3(O)[C@@H](C)C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@H]4C(=O)C[C@@]23C
tox21-ar-mda-kb2-luc-agonist-p1	CID_3033968	1	3033968	O=C4CC[C@H]3C(CC[C@@H]2[C@@H]3CC[C@@]1(CC)[C@H]2C=C[C@@]1(O)C#C)=C4
tox21-ar-mda-kb2-luc-agonist-p1	CID_5284557	1	5284557	O=C4CC[C@@]3(C)C(CC[C@@H]2[C@@H]3CC[C@@]1(C)[C@H]2CC[C@@]1(O)C#C)=C4
tox21-ar-mda-kb2-luc-agonist-p1	CID_28417	1	28417	C#C[C@]3(O)CC[C@H]2[C@@H]4CCC1=Cc5oncc5C[C@]1(C)[C@H]4CC[C@@]23C
tox21-ar-mda-kb2-luc-agonist-p1	CID_10635	1	10635	O=C3C[C@@H]4CC[C@@H]1[C@H](CC[C@]2(C)[C@@H](O)CC[C@@H]12)[C@@]4(C)CC3
tox21-ar-mda-kb2-luc-agonist-p1	CID_9880	1	9880	CC(=O)[C@@]4(OC(C)=O)CC[C@H]3[C@@H]5C=C(Cl)C2=CC(=O)[C@@H]1C[C@@H]1[C@]2(C)[C@H]5CC[C@@]34C
tox21-ar-mda-kb2-luc-agonist-p1	CID_5284486	1	5284486	C[C@]32CC[C@@H]1[C@H]4CCCC=C4CC[C@H]1[C@@H]3CC[C@]2(O)C#C
tox21-ar-mda-kb2-luc-agonist-p1	CID_31343	1	31343	O=P(OC)(OC)C(OC(=O)CCC)C(Cl)(Cl)Cl
tox21-ar-mda-kb2-luc-agonist-p1	CID_2518	1	2518	Oc1ccc(C=CC(=O)O)cc1O
tox21-ar-mda-kb2-luc-agonist-p1	CID_443935	1	443935	O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H]5S[C@@H]5C[C@]4(C)[C@H]3CC[C@]12C
tox21-ar-mda-kb2-luc-agonist-p1	CID_19571	1	19571	CCC(=O)O[C@H]2CC[C@H]3[C@@H]4CCc1cc(O)ccc1[C@H]4CC[C@]23C
tox21-ar-mda-kb2-luc-agonist-p1	CID_9677	1	9677	CCCCCCCCCC(=O)O[C@H]2CC[C@H]3[C@@H]4CCC1=CC(=O)CC[C@@H]1[C@H]4CC[C@]23C
tox21-ar-mda-kb2-luc-agonist-p1	CID_65947	1	65947	CC=5OC(=O)OC=5CN1CCN(CC1)c2cc3c(cc2F)C(=O)C(=C4SC(C)N34)C(=O)O
tox21-ar-mda-kb2-luc-agonist-p1	CID_68289	1	68289	Oc1ccc2OCOc2c1
tox21-ar-mda-kb2-luc-agonist-p1	CID_6231	1	6231	O=C1CCC4=C(C1)CC[C@@H]3[C@@H]4CC[C@@]2(C)[C@H]3CC[C@@]2(O)C#C
tox21-ar-mda-kb2-luc-agonist-p1	CID_2723722	1	2723722	CC(=O)[C@H]4CC[C@@H]3[C@]4(C)CC[C@H]2[C@H]3CC=C1C[C@H](CC[C@@]12C)OC(C)=O
tox21-ar-mda-kb2-luc-agonist-p1	CID_60605	1	60605	C[C@@H]1CN(C[C@H](C)N1)c2c(F)c(F)c3c(c2F)N(C=C(C3=O)C(=O)O)C4CC4
tox21-ar-mda-kb2-luc-agonist-p1	CID_14219	1	14219	Cl.N=C(N)NC(=N)N(C)C
