assay_name	compound_pubchem_cid	assay_outcome	cid	smiles
tox21-mitotox-p1	CID_15730	1	15730	Oc1ccc(CCCCCCCC)cc1
tox21-mitotox-p1	CID_10866	1	10866	[Br-].CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1
tox21-mitotox-p1	CID_5590	1	5590	CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1
tox21-mitotox-p1	CID_9880	1	9880	CC(=O)[C@@]4(OC(C)=O)CC[C@H]3[C@@H]5C=C(Cl)C2=CC(=O)[C@@H]1C[C@@H]1[C@]2(C)[C@H]5CC[C@@]34C
tox21-mitotox-p1	CID_23668196	1	23668196	[Na+].[O-]C(=O)CC[C@@H](C)[C@H]2CC[C@H]1[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]12C
tox21-mitotox-p1	CID_92806	1	92806	Cl.CCN(CC)CCOC(=O)C(c1ccccc1)C2CCCCC2
tox21-mitotox-p1	CID_5702162	1	5702162	Cl.CC(NCCC(c1ccccc1)c2ccccc2)c3ccccc3
tox21-mitotox-p1	CID_5702167	1	5702167	O=C(O)/C=C\C(=O)O.CN1CC\C(CC1)=C2/c4ccccc4Sc3ccccc23
tox21-mitotox-p1	CID_9818306	1	9818306	CC(=O)Oc3cc4CC[C@@H]1[C@H](CC[C@]2(C)[C@@H](O)CC[C@@H]12)c4cc3
tox21-mitotox-p1	CID_656630	1	656630	O=C1C=C(CO1)[C@H]2CC[C@@]9(O)[C@]2(C)[C@H](O)C[C@H]4[C@H]9CC[C@@H]3C[C@H](CC[C@@]34C)O[C@@H]8O[C@H](C)[C@@H](O[C@@H]7O[C@H](C)[C@@H](O[C@@H]6O[C@H](C)[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](OC(C)=O)C6)[C@@H](O)C7)[C@@H](O)C8
tox21-mitotox-p1	CID_123596	1	123596	CS(=O)(=O)O.Cc3ccc(cc3Nc1nc(ccn1)c2cccnc2)NC(=O)c4ccc(cc4)CN5CCN(C)CC5
tox21-mitotox-p1	CID_172306	1	172306	Cl.COc1cccc2OC[C@H]3CN(C[C@H]3c12)CCCCN5C(=O)Nc4c6nc(cnc6sc4C5=O)c7ccccc7
tox21-mitotox-p1	CID_32731	1	32731	[Na+].[O-][N+](=O)c1ccc(cc1)c3ccc(/C=N/N2CC(=O)[N-]C2=O)o3
tox21-mitotox-p1	CID_357904	1	357904	Cl.[O-][N+](=O)c1cccc(c1)C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OCCCN3CCC(CC3)(c4ccccc4)c5ccccc5
tox21-mitotox-p1	CID_6321253	1	6321253	CCN(CC)C(=O)N[C@@H]2C=C1c3cccc4ncc(C[C@@H]1N(C)C2)c34
tox21-mitotox-p1	CID_65057	1	65057	O=C2C(=C2c1ccccc1)c3ccccc3
tox21-mitotox-p1	CID_31280	1	31280	[Br-].C[N+](C)(CCCCCCCCCCCCCCCC)CC
tox21-mitotox-p1	CID_14250	1	14250	[Br-].C[N+](C)(C)CCCCCCCCCCCCCC
tox21-mitotox-p1	CID_12449	1	12449	CC/[N+](CC)=C1\C=C/C(C=C1)=C(/c2ccccc2)c3ccc(cc3)N(CC)CC.[O-]S(=O)(=O)O
tox21-mitotox-p1	CID_9270	1	9270	CC(=O)O[C@@]4(C#C)CC[C@@H]3[C@]4(C)CC[C@H]2[C@H]3CCC1=C[C@H](CC[C@@H]12)OC(C)=O
tox21-mitotox-p1	CID_2800	1	2800	CCN(CCOc1ccc(cc1)C(c2ccccc2)=C(Cl)c3ccccc3)CC
tox21-mitotox-p1	CID_14759	1	14759	Oc1cc(C)ccc1CCCCC
tox21-mitotox-p1	CID_216237	1	216237	Cc1ccccc1C(=O)Nc2ccc(c(C)c2)C(=O)N4CCCC(O)c3cc(Cl)ccc34
