assay_name	compound_pubchem_cid	assay_outcome	cid	smiles
tox21-sbe-bla-antagonist-p1	CID_8749	1	8749	CN(C)c1ccc(N=O)cc1
tox21-sbe-bla-antagonist-p1	CID_1318	1	1318	c1ccnc3c1ccc2cccnc23
tox21-sbe-bla-antagonist-p1	CID_65064	1	65064	Oc1cc(cc(O)c1O)C(=O)O[C@@H]3Cc2c(cc(O)cc2O)O[C@@H]3c4cc(O)c(O)c(O)c4
tox21-sbe-bla-antagonist-p1	CID_29354	1	29354	Oc1ccc(OCCCCCC)cc1
tox21-sbe-bla-antagonist-p1	CID_6624	1	6624	OC(C)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
tox21-sbe-bla-antagonist-p1	CID_15337	1	15337	[Hg+2].[O-]C(C)=O.[O-]C(C)=O
tox21-sbe-bla-antagonist-p1	CID_727200	1	727200	S=C(NC1CCCCC1)NC2CCCCC2
tox21-sbe-bla-antagonist-p1	CID_6777	1	6777	O=C(OC1CCCCC1)c3ccccc3C(=O)OC2CCCCC2
tox21-sbe-bla-antagonist-p1	CID_28777	1	28777	O=C3c1ccccc1C(=O)N3SC2CCCCC2
tox21-sbe-bla-antagonist-p1	CID_1807	1	1807	O=[N+]([O-])C1(Br)COCOC1
tox21-sbe-bla-antagonist-p1	CID_26030	1	26030	Cl[Au](Cl)Cl
tox21-sbe-bla-antagonist-p1	CID_7347	1	7347	CN(C)C(=S)SC(=S)N(C)C
tox21-sbe-bla-antagonist-p1	CID_31356	1	31356	BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr
tox21-sbe-bla-antagonist-p1	CID_10345790	1	10345790	Brc1ccccc1N2Cc3cnc(nc3N(C)C2=O)Nc4ccc5OC(COc5c4)CO
tox21-sbe-bla-antagonist-p1	CID_9889168	1	9889168	[Cl-].CCCC[P+](CCCC)(CCCC)CCCCCCCCCCCCCC
tox21-sbe-bla-antagonist-p1	CID_170286	1	170286	C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O
tox21-sbe-bla-antagonist-p1	CID_10793	1	10793	ClCC(=O)CCl
tox21-sbe-bla-antagonist-p1	CID_163263	1	163263	C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
tox21-sbe-bla-antagonist-p1	CID_517546	1	517546	O.[Na+].O.O.CCN(CC)C([S-])=S
tox21-sbe-bla-antagonist-p1	CID_2406	1	2406	Oc2c(Sc1cc(Cl)cc(Cl)c1O)cc(Cl)cc2Cl
tox21-sbe-bla-antagonist-p1	CID_3571582	1	3571582	[Na+].O=S([O-])(=O)c1ccc(C=C)cc1
tox21-sbe-bla-antagonist-p1	CID_6796	1	6796	c2cc1ncccc1c3ccccc23
tox21-sbe-bla-antagonist-p1	CID_7573	1	7573	CC(C)Nc1ccc(cc1)Nc2ccccc2
tox21-sbe-bla-antagonist-p1	CID_22463	1	22463	Oc1ccc2cc(ccc2c1)SSc3ccc4cc(O)ccc4c3
tox21-sbe-bla-antagonist-p1	CID_81259	1	81259	Oc1ccc(cc1)C(C)(CC(C)C)c2ccc(O)cc2
tox21-sbe-bla-antagonist-p1	CID_9884915	1	9884915	[O-][N+](=O)c1cc2C(=Nc3c(Nc2cc1)nnc3C)c4ccccc4Cl
tox21-sbe-bla-antagonist-p1	CID_91692	1	91692	Clc1ccc(cc1)CN(C(=O)Nc2ccccc2)C3CCCC3
tox21-sbe-bla-antagonist-p1	CID_93312	1	93312	Nc1ccc(cc1)C(=O)OCCCOC(=O)c2ccc(N)cc2
tox21-sbe-bla-antagonist-p1	CID_18198	1	18198	CC(O)C#CC(C)O
tox21-sbe-bla-antagonist-p1	CID_5479172	1	5479172	[Na+].[Na+].[O-]S(=O)(=O)c5cc(cc6ccc(O)c(/N=N/c1ccc(cc1C)c4ccc(/N=N/c3ccc(OS(=O)(=O)c2ccc(C)cc2)cc3)c(C)c4)c56)S([O-])(=O)=O
tox21-sbe-bla-antagonist-p1	CID_12688	1	12688	CCCC[Sn](Cl)(Cl)CCCC
tox21-sbe-bla-antagonist-p1	CID_47936	1	47936	CC(=O)O[C@H]2[C@@H](O)[C@@H]1[C@](C)([C@@H](O)CCC1(C)C)[C@@]3(O)C(=O)C[C@](C)(C=C)O[C@]23C
tox21-sbe-bla-antagonist-p1	CID_9074	1	9074	O=Nc2ccc(Nc1ccccc1)cc2
tox21-sbe-bla-antagonist-p1	CID_18529	1	18529	BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
tox21-sbe-bla-antagonist-p1	CID_6537494	1	6537494	C/C(=C\C=C\C(=O)OC)/C=C/C=C(\C)/C=C\C=C(/C)\C=C/C=C(/C)\C=C/C(=O)O
