Task,MT-DNN-RMSE,MT-DNN-R2,ST-DNN-RMSE,ST-DNN-R2,ST-RF-RMSE,ST-RF-R2,GCNN-RMSE,GCNN-R2,DLCA-RMSE,DLCA-R2,MT-NYAN-RMSE (single latent),MT-NYAN-R2 (single latent),MT-NYAN-RMSE (5 random latents),MT-NYAN-R2 (5 random latents)
mouse_intravenous_LDLo,0.83,0.53,1.14,0.1,1.05,0.25,0.86,0.49,0.79,0.58,0.639432549,0.595021665,0.615615427,0.626876175
frog_subcutaneous_LDLo,0.84,0.54,0.98,0.37,0.97,0.38,0.82,0.56,0.84,0.54,0.850817978,0.511214316,0.846246064,0.517851651
guinea pig_intravenous_LDLo,0.65,0.61,0.98,0.06,0.74,0.49,0.67,0.57,0.61,0.66,0.67589283,0.658573747,0.674105763,0.658813775
mammal_subcutaneous_LD50,0.47,0.2,0.58,-0.24,0.43,0.33,0.45,0.28,0.48,0.18,0.377656549,0.294965446,0.364026964,0.345371634
rabbit_intraperitoneal_LD50,0.66,0.43,1,-0.28,0.85,0.08,0.62,0.51,0.63,0.48,0.644610345,0.555208027,0.64099735,0.559825063
rat_intravenous_LDLo,0.8,0.48,1.2,-0.15,1,0.21,0.88,0.37,0.76,0.55,0.776714623,0.427916288,0.767355621,0.441292197
cat_oral_LDLo,0.69,0.41,0.94,-0.04,0.88,0.08,0.7,0.39,0.64,0.51,0.654667318,0.544966996,0.662549973,0.534156621
human_oral_TDLo,1.27,0.32,1.55,-0.02,1.46,0.11,1.44,0.11,1.32,0.27,1.179909587,0.482542038,1.163344622,0.500875115
guinea pig_intravenous_LD50,0.75,0.62,1.23,0,0.89,0.47,0.77,0.6,0.71,0.66,0.663748443,0.715405881,0.649579942,0.727523625
rabbit_subcutaneous_LD50,0.81,0.62,1.11,0.28,1.07,0.36,0.83,0.59,0.86,0.56,0.7462883,0.686647296,0.749649465,0.687271953
women_oral_TDLo,1.04,0.2,1.14,0.04,1.06,0.17,1.05,0.19,1.09,0.13,0.997876346,0.379892081,0.972673118,0.411669463
cat_intravenous_LDLo,0.68,0.71,1.04,0.32,0.86,0.54,0.74,0.66,0.66,0.72,0.697808802,0.743570149,0.70287019,0.739823163
man_oral_TDLo,1.11,0.17,1.31,-0.14,1.21,0.02,1.13,0.15,1.04,0.28,1.032832742,0.360819906,1.030596614,0.363169849
guinea pig_subcutaneous_LD50,0.81,0.58,1.07,0.27,1.1,0.21,0.88,0.48,0.83,0.56,0.685826957,0.682148278,0.664456069,0.702339172
cat_oral_LD50,0.83,0.47,1.1,0.08,0.9,0.38,0.84,0.46,0.76,0.56,0.804065228,0.671531975,0.803037763,0.672226965
rat_subcutaneous_LDLo,0.66,0.68,0.98,0.3,0.93,0.36,0.69,0.65,0.66,0.68,0.66071552,0.689970315,0.66208452,0.689186394
guinea pig_skin_LD50,0.77,0.33,0.92,0.06,0.76,0.38,0.78,0.32,0.74,0.4,0.769676924,0.320715487,0.753711343,0.348198503
guinea pig_subcutaneous_LDLo,0.75,0.65,0.98,0.4,0.88,0.52,0.72,0.68,0.75,0.65,0.777833641,0.665541351,0.778822899,0.663321137
rabbit_skin_LDLo,0.67,0.47,0.91,0.02,0.89,0.09,0.77,0.31,0.7,0.45,0.657700837,0.446657956,0.656309485,0.448934466
dog_oral_LDLo,0.83,0.52,1.23,-0.08,1.11,0.14,0.88,0.46,0.84,0.51,0.813706577,0.501043499,0.797830284,0.522982895
duck_oral_LD50,0.92,0.48,1.09,0.26,0.99,0.39,0.94,0.44,0.85,0.55,0.85029906,0.515232623,0.836222768,0.531986058
mouse_skin_LD50,0.79,0.36,0.99,0.02,0.89,0.21,0.71,0.49,0.79,0.38,0.675252497,0.519764602,0.667941868,0.531206071
rabbit_subcutaneous_LDLo,0.66,0.73,0.84,0.56,0.85,0.55,0.61,0.76,0.61,0.77,0.633807182,0.736403644,0.63291496,0.736923099
guinea pig_intraperitoneal_LD50,0.61,0.57,0.94,-0.02,0.79,0.28,0.66,0.49,0.62,0.56,0.587629735,0.61375618,0.578780115,0.623843133
rabbit_oral_LDLo,0.58,0.57,0.76,0.28,0.72,0.36,0.63,0.49,0.61,0.53,0.64421314,0.494454592,0.636008561,0.50616467
mouse_subcutaneous_LDLo,0.76,0.31,0.97,-0.12,0.9,0.03,0.73,0.36,0.77,0.3,0.673363328,0.452821344,0.664958298,0.468762785
cat_intravenous_LD50,0.8,0.63,1.1,0.31,0.88,0.55,0.78,0.65,0.78,0.65,0.717553437,0.706737936,0.709675372,0.713136196
mouse_oral_LDLo,0.68,0.34,0.91,-0.16,0.77,0.16,0.68,0.36,0.68,0.35,0.640816391,0.360041529,0.629689932,0.382068962
mouse_intraperitoneal_LDLo,0.67,0.46,0.94,-0.06,0.83,0.17,0.65,0.49,0.62,0.53,0.645014405,0.449022979,0.629455686,0.474417686
rat_intramuscular_LD50,0.7,0.57,1,0.15,0.93,0.25,0.67,0.61,0.7,0.58,0.702219665,0.592690468,0.696683824,0.597906351
mouse_parenteral_LD50,0.71,0.46,0.84,0.21,0.76,0.39,0.72,0.44,0.72,0.44,0.557487249,0.583768308,0.540639341,0.610088289
rat_intraperitoneal_LDLo,0.58,0.53,0.84,0,0.77,0.18,0.55,0.58,0.56,0.57,0.568282902,0.571137607,0.563390017,0.579130948
rat_oral_LDLo,0.68,0.37,0.87,-0.06,0.78,0.15,0.69,0.33,0.64,0.44,0.657045484,0.442083895,0.656948626,0.440933049
bird - wild_oral_LD50,0.72,0.38,0.9,0.04,0.75,0.33,0.71,0.41,0.67,0.46,0.71018362,0.437004626,0.701643407,0.451438636
rabbit_intravenous_LDLo,0.74,0.61,1,0.27,0.92,0.39,0.75,0.59,0.71,0.63,0.748783886,0.617309868,0.748683453,0.618115902
quail_oral_LD50,0.74,0.46,0.89,0.22,0.81,0.35,0.75,0.44,0.71,0.51,0.663513184,0.448124647,0.648212135,0.474346638
chicken_oral_LD50,0.84,0.36,1.04,0.01,0.9,0.27,0.87,0.31,0.77,0.45,0.755629063,0.492152989,0.742717624,0.509698808
dog_intravenous_LDLo,0.71,0.62,1,0.26,0.93,0.36,0.72,0.61,0.7,0.64,0.703348577,0.657157898,0.698119581,0.66340059
dog_intravenous_LD50,0.66,0.64,0.91,0.32,0.81,0.45,0.64,0.67,0.64,0.66,0.649349213,0.63065666,0.642080724,0.638982594
