method,KPGT,UniMol,PharmHGT,MolCLR,BAN,KANO,ExtraTree,DF
CYP450_CYP2C19.csv,0.9216759628,0.9180715788,0.8791329365999999,0.7497708954,0.7015594066,0.8778401710000001,0.8872907415288559,0.8940458108555281
Cardiotoxicity_Cardiotoxicity-10.csv,0.8244062658000001,0.8047760371999999,0.7256391966,0.6424632546,0.6823540446,0.7819024722,0.7827560852798201,0.7787519163081138
Carcinogenicity_Carcinogenicity.csv,0.7740071994000001,0.7571497004,0.7034622626000001,0.6229484284,0.7149092012,0.8094262296,0.7430521632581699,0.7276172517924016
Endocrine Disruption_NR-aromatase.csv,0.8794774454000001,0.8728449232,0.8115281792,0.6949780476,0.8316694,0.8707244528,0.8558574495994135,0.8578411840951761
Hepatotoxicity_Hepatotoxicity.csv,0.8216212697999999,0.8128339372000001,0.7200441846000001,0.6477135024,0.7122944780568374,0.7664729638,0.810929477974064,0.8081269435355278
Developmental and Reproductive Toxicity_Developmental Toxicity.csv,0.7178709638,0.7678888248000001,0.6098329322,0.7151351752,0.7128451018650355,0.47058823499999997,0.601663961038961,0.5964123376623376
Clinical Toxicity_Clinical toxicity.csv,0.9326568372,0.9050287351999999,0.8758800586,0.6534890324,0.8857618724,0.8891005288,0.7827492495580135,0.7637572857119349
Endocrine Disruption_SR-p53.csv,0.904739835,0.8880071723999998,0.8186197869999999,0.7276034514,0.8240971734,0.8825307532,0.867329176887474,0.8618419031404617
Endocrine Disruption_NR-AhR.csv,0.9129264462,0.9109586984,0.8795095823999999,0.8145003086000001,0.867613124,0.8976973361999999,0.8992004265027871,0.8975791505731852
Endocrine Disruption_NR-AR-LBD.csv,0.8913037612,0.8928209658,0.8392273405999999,0.8036161474,0.8739517592,0.8917067949999999,0.8879453195188567,0.8909541419591018
Irritation and Corrosion_Eye Corrosion.csv,0.9937267037999999,0.9944145715999999,0.989662143,0.8858525664860297,0.9831357805060726,0.9968168874,0.9867683615280487,0.9889575705285422
Endocrine Disruption_SR-ARE.csv,0.8608562764000001,0.8548324572,0.7979462668,0.6648013346,0.787511175,0.826344336,0.8251283994352606,0.8192644521119323
Cardiotoxicity_Cardiotoxicity-5.csv,0.824924613,0.81456888,0.7260114402,0.6720124322000001,0.6517375556179011,0.7864846646,0.7988794596782346,0.7973652644199539
Endocrine Disruption_NR-ER.csv,0.7520418276,0.761905235,0.729926619,0.6887338796,0.7486894000000001,0.682079473,0.7305444118435706,0.7345659943686669
Cardiotoxicity_Cardiotoxicity-1.csv,0.8928065636,0.8917631075999999,0.7546945218000001,0.7088365296,0.732351808,0.8577744660000001,0.8655669056638018,0.8515716581371304
CYP450_CYP2D6.csv,0.9093757715999999,0.90443978,0.8619514318,0.7143212024000001,0.7353852414,0.865605826,0.8746346747249116,0.8792928609816846
Respiratory Toxicity_Respiratory Toxicity.csv,0.8846797373999999,0.8720317146,0.7746047142,0.6619885353999999,0.6499992271461632,0.8499399762,0.8712399510891558,0.8558534005394085
CYP450_CYP3A4.csv,0.9486355721999999,0.9478459516,0.9033375088000002,0.7000816931999999,0.8102438949999999,0.9271052839999999,0.9085352081290907,0.9162375561613038
Endocrine Disruption_NR-ER-LBD.csv,0.8571221013999999,0.8502165876,0.7761210251999999,0.7091034662,0.8144434384,0.6218526786,0.8205664699093062,0.8284668754691363
CYP450_CYP1A2.csv,0.9641188802,0.9625906154000001,0.9305228910000001,0.8813971395658206,0.8631380502000001,0.9494457954,0.9385403139451368,0.9437719478319491
Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,0.5928034186,0.7416250418,0.6149865984,0.6833333334,0.5773751485705945,0.47692307700000003,0.5248385565052233,0.5300028490028489
Endocrine Disruption_NR-PPAR-gamma.csv,0.8762122293999999,0.8523878977999999,0.7665957346,0.630401684,0.7909214,0.8662693158,0.8147852511220398,0.8023595235780523
Endocrine Disruption_NR-AR.csv,0.818006128,0.8241595392000001,0.7796425192,0.7661837246000001,0.79161054,0.7758430072,0.8196821747461142,0.822561659611537
Mutagenicity_Ames Mutagenicity.csv,0.919063062,0.9093035022,0.8677367894,0.6951225286,0.793433006279834,0.8946093424000001,0.9019486095915645,0.9030560816912828
Cardiotoxicity_Cardiotoxicity-30.csv,0.8437227056000001,0.8117252336,0.7319488822,0.6490291914,0.6500613174,0.8238562092,0.7905328043750652,0.7829330650554208
Irritation and Corrosion_Eye Irritation.csv,0.9852583450000001,0.9839474676,0.9646154424000001,0.8660696242556998,0.9650027309346314,0.9781109948000001,0.9733505828336897,0.976159484446311
Endocrine Disruption_SR-ATAD5.csv,0.8987366202,0.8847269902000001,0.8339565207999999,0.7120522524,0.7971355558,0.8045828370000001,0.8419912474566418,0.8303144870594762
CYP450_CYP2C9.csv,0.9317662128,0.9309527628000002,0.8901583063999998,0.8182947836000001,0.7215803768000001,0.9219825556,0.9016401445897213,0.9088993327447964
Endocrine Disruption_SR-HSE.csv,0.8298333112,0.8243076678,0.7625100582,0.6593295026,0.7926291628,0.8080115832000001,0.7938493250358769,0.7947273472958466
Endocrine Disruption_SR-MMP.csv,0.932758185,0.9281887954,0.8857340280000001,0.7181425574,0.8736873103324472,0.9259950476000001,0.9137720834198635,0.9184741655393406
