method,CYP450_CYP2C19.csv,Cardiotoxicity_Cardiotoxicity-10.csv,Carcinogenicity_Carcinogenicity.csv,Endocrine Disruption_NR-aromatase.csv,Hepatotoxicity_Hepatotoxicity.csv,Developmental and Reproductive Toxicity_Developmental Toxicity.csv,Clinical Toxicity_Clinical toxicity.csv,Endocrine Disruption_SR-p53.csv,Endocrine Disruption_NR-AhR.csv,Endocrine Disruption_NR-AR-LBD.csv,Irritation and Corrosion_Eye Corrosion.csv,Endocrine Disruption_SR-ARE.csv,Cardiotoxicity_Cardiotoxicity-5.csv,Endocrine Disruption_NR-ER.csv,Cardiotoxicity_Cardiotoxicity-1.csv,CYP450_CYP2D6.csv,Respiratory Toxicity_Respiratory Toxicity.csv,CYP450_CYP3A4.csv,Endocrine Disruption_NR-ER-LBD.csv,CYP450_CYP1A2.csv,Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,Endocrine Disruption_NR-PPAR-gamma.csv,Endocrine Disruption_NR-AR.csv,Mutagenicity_Ames Mutagenicity.csv,Cardiotoxicity_Cardiotoxicity-30.csv,Irritation and Corrosion_Eye Irritation.csv,Endocrine Disruption_SR-ATAD5.csv,CYP450_CYP2C9.csv,Endocrine Disruption_SR-HSE.csv,Endocrine Disruption_SR-MMP.csv
NYAN_latent,0.9125846999920146,0.6805547198706716,0.6964429158606016,0.9893182260379983,0.8031505702536368,0.2363974896516913,0.9750215462756611,0.9886000799508803,0.9821005616048775,0.9926719809808363,0.9925971084496619,0.9558457690457528,0.8069325994079495,0.927400011800896,0.9485438137739685,0.9741859974161196,0.8147867966780712,0.9536140478762434,0.983473995384881,0.961241909471456,0.24561067288562746,0.9916535042237458,0.9857027567946137,0.8787265967406592,0.4658682370383477,0.9407709366240804,0.9918307372359546,0.958612948048633,0.9806181849800618,0.9787340791224427
Morgan512,0.9005189255977939,0.660887680491032,0.7134759069076333,0.9850723084979951,0.7680754667218042,0.21152354633926848,0.9762354077222426,0.9842843501168927,0.9791226018349789,0.9915617054595657,0.9918545054500933,0.9466523876891095,0.7800018981338981,0.924309987811133,0.9512657133690613,0.9682026949395375,0.8029933761324696,0.9534275410952654,0.9824693792499039,0.9567447889408113,0.2160557672175319,0.9909595262979662,0.9834128606487997,0.8701765345573229,0.42821642593734344,0.9445709569437464,0.9901377155569451,0.9560485966114414,0.9768489957163127,0.9665206243446335
Atompair,0.9024081876037577,0.652579542412659,0.7069453703089961,0.9863615885329902,0.7832665682990453,0.1758187209323351,0.9321885312840008,0.9862777751546172,0.9813547269411289,0.9912726271319363,0.9934496588818668,0.9527104605669973,0.7727619158916591,0.9269084106621518,0.9352281776343766,0.9690087188419444,0.8185529678073122,0.9528885424216151,0.986260354041355,0.9613415614291017,0.27546816146816144,0.9923792216249424,0.9837948849695642,0.8698979243544755,0.4209398372144307,0.9443214820139476,0.9915358913415329,0.9550483671809259,0.9797908004367661,0.973972944241293
ECFP2,0.9002200996007825,0.6748440401646602,0.7251541483150665,0.9807236937747312,0.7937243297240151,0.21082156525257387,0.9844980069472881,0.9854250677709067,0.9794737556200763,0.9910872739039533,0.9882358770887922,0.9426323232154712,0.7617493863531875,0.9248086423035563,0.9322721532612077,0.9640757600700723,0.80996348956394,0.9529680076524875,0.9817412555180187,0.9570657117286585,0.2795642239616024,0.9898397015276107,0.9831348777068818,0.851725792565022,0.4275428579829703,0.9478043646528047,0.9897723941829202,0.9519770007158133,0.9819755172827463,0.9632586047312834
Mordred,0.90514274530394,0.6827436800576167,0.6815269535970064,0.9882133275543387,0.8020121733046345,0.2803963714814712,0.9752056933758706,0.9870564878928073,0.9830349432287205,0.9926591592206421,0.99380674410487,0.9533585845750139,0.7985726040846645,0.926728203740597,0.951247448010317,0.9707159834331772,0.8206601418731015,0.9523730188654612,0.9843417411156524,0.9609851135361154,0.20001135694943742,0.9921726218532966,0.9859119988458289,0.8691728244009862,0.45379991775473066,0.9495919113458496,0.9921909584707015,0.9575945874954505,0.9813164210871175,0.9789011920005912
Rdkit2D,0.9057363421761346,0.7190382869955732,0.7198756164439495,0.9884981374428117,0.8011546860964923,0.24833660774948774,0.9844041646064989,0.9896176320005218,0.983423042218304,0.9933831227629192,0.9951105478641026,0.9576012328208986,0.7942425950444358,0.9283273374133388,0.9448639067121718,0.9712312911002213,0.8210840689167037,0.9575095953581597,0.9841351217355312,0.9637393329154396,0.22113679878897266,0.9943996564644679,0.9845574783858254,0.8819560742626233,0.499275875862105,0.9559033345956649,0.9934222414973343,0.9559372800736015,0.9824620545027622,0.9804648756704827
Morgan1024,0.9073267226191095,0.6621867206476851,0.7092391576953514,0.9838029780291416,0.7746586518320211,0.21272521268761863,0.9775021592267802,0.985653829614817,0.979684709370108,0.9921384796836736,0.9928368072943554,0.9469003246465567,0.7840311507606097,0.9261735865486808,0.9540553555287433,0.9696338534014954,0.8114873712053796,0.9563477118603572,0.9826629035870269,0.9598314712368758,0.22427335627335626,0.9918732119534424,0.9833440761018967,0.8764473687517865,0.43222469345936576,0.9463115246524548,0.9906965937709146,0.9592162429082999,0.9775274874387616,0.9686045153046645
Topological Torsion,0.9026671008425915,0.6537412427947584,0.6971035519830242,0.986050108753101,0.7644429630012695,0.13743131269400094,0.9395487688123605,0.9866479902710342,0.9782466341757537,0.991676542556059,0.9902384459992135,0.9439073625142594,0.7593440203602478,0.9264426985708301,0.9361555466554705,0.9676091035821812,0.8032679923864944,0.9537052958861887,0.982166591893588,0.9607175031758519,0.3270451145278731,0.9910808509687502,0.982606246330171,0.8442825073637079,0.4220387109220335,0.9362059066656737,0.9901748364891974,0.9600771200370974,0.9762739716959864,0.9691496232071014
MACCS,0.8860803468687586,0.6606210574736443,0.6829989516470196,0.9832518672475107,0.789469999007069,0.22710678171774595,0.9840273122473236,0.9843020120283164,0.974905807567126,0.9901467954872946,0.9938435409360059,0.9491363792095335,0.7841379897440298,0.9212886593882637,0.9334332909509542,0.965523747928253,0.8021503086133357,0.9375344343889026,0.9804258581040693,0.9514789496787543,0.35243855164443394,0.9885841372750738,0.9821473896273212,0.828974065037271,0.4323611032280888,0.9349287111510671,0.9895317303940709,0.9497542930852327,0.975428561923918,0.9658916044362872
Avalon,0.9021401954807227,0.6601085138642512,0.7222449998890756,0.983365813911335,0.7938157090608075,0.16526714395533199,0.9741907558213224,0.9869234960985567,0.9815696600575272,0.9926562068889723,0.9943522399065277,0.9558663848847134,0.7651964764237935,0.9246696195488522,0.9374484884927016,0.9709893559141317,0.7961986068950601,0.9527667595195419,0.9813373511587724,0.9629042594122621,0.2653263664440135,0.99229597244933,0.981516835606968,0.8774819369682995,0.4324932967283167,0.948329139452496,0.9899493514247659,0.9589872381495063,0.9781643584406134,0.9753338888309265
