method,CYP450_CYP2C19.csv,Cardiotoxicity_Cardiotoxicity-10.csv,Carcinogenicity_Carcinogenicity.csv,Endocrine Disruption_NR-aromatase.csv,Hepatotoxicity_Hepatotoxicity.csv,Developmental and Reproductive Toxicity_Developmental Toxicity.csv,Clinical Toxicity_Clinical toxicity.csv,Endocrine Disruption_SR-p53.csv,Endocrine Disruption_NR-AhR.csv,Endocrine Disruption_NR-AR-LBD.csv,Irritation and Corrosion_Eye Corrosion.csv,Endocrine Disruption_SR-ARE.csv,Cardiotoxicity_Cardiotoxicity-5.csv,Endocrine Disruption_NR-ER.csv,Cardiotoxicity_Cardiotoxicity-1.csv,CYP450_CYP2D6.csv,Respiratory Toxicity_Respiratory Toxicity.csv,CYP450_CYP3A4.csv,Endocrine Disruption_NR-ER-LBD.csv,CYP450_CYP1A2.csv,Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,Endocrine Disruption_NR-PPAR-gamma.csv,Endocrine Disruption_NR-AR.csv,Mutagenicity_Ames Mutagenicity.csv,Cardiotoxicity_Cardiotoxicity-30.csv,Irritation and Corrosion_Eye Irritation.csv,Endocrine Disruption_SR-ATAD5.csv,CYP450_CYP2C9.csv,Endocrine Disruption_SR-HSE.csv,Endocrine Disruption_SR-MMP.csv
NYAN_latent,0.8872907415288559,0.7827560852798201,0.7430521632581699,0.8558574495994135,0.810929477974064,0.601663961038961,0.7827492495580135,0.867329176887474,0.8992004265027871,0.8879453195188567,0.9867683615280487,0.8251283994352606,0.7988794596782346,0.7305444118435706,0.8655669056638018,0.8746346747249116,0.8712399510891558,0.9085352081290907,0.8205664699093062,0.9385403139451368,0.5248385565052233,0.8147852511220398,0.8196821747461142,0.9019486095915645,0.7905328043750652,0.9733505828336897,0.8419912474566418,0.9016401445897213,0.7938493250358769,0.9137720834198635
Morgan512,0.8762848218727501,0.7601354758817271,0.7435204374862201,0.8213181718663245,0.795919130333184,0.534437198633119,0.78857621545193,0.8247141144915814,0.8808125846467885,0.8679560922421473,0.9852404707635717,0.7931647969288507,0.7816092794955173,0.7080759243555024,0.8728441508168313,0.8619469214594847,0.8578148343527788,0.9149030432624151,0.8085319349076097,0.9310198486935439,0.48335232668566,0.7945807006980209,0.8002428266520232,0.8982749945884818,0.734628290356089,0.9706514409861224,0.8271224314884889,0.8951325736490127,0.7475866587313889,0.8691154935740737
Atompair,0.8797572748299164,0.7768712616312424,0.7412939700494985,0.8410352290417322,0.807873908353652,0.4970441145666477,0.6074378114767394,0.8518729733346181,0.8918779051312278,0.877096853812696,0.9880893388723948,0.8165978319029747,0.7873713815172825,0.7195895008079132,0.8570600992263648,0.8655890267572726,0.8698404008818154,0.9114365713372343,0.8389617441098178,0.9383013385194137,0.5349230769230768,0.8188130356517849,0.8049132454593366,0.9015677828412079,0.7631644710989496,0.9742591246159314,0.848576982189589,0.8967742675479997,0.7814303995612943,0.8962490550215634
ECFP2,0.8865530931657437,0.768289562430289,0.7537633926786531,0.7877111134267438,0.8175369823888093,0.48497566731971375,0.8589700615668129,0.8446771922895395,0.8886947696412895,0.8697537280063091,0.9871242374809966,0.7939631634084487,0.7647770241460272,0.7051904236878368,0.8270486370554442,0.8654043630553886,0.8763028767943565,0.9155856368818986,0.7952883022726053,0.938867653612391,0.5325878442545109,0.7836753243906528,0.7981419596809429,0.8893078950287764,0.7437820763314756,0.9763501010997973,0.8281314715732366,0.8981076316166702,0.8018092846922398,0.8665780531975606
Mordred,0.8838282104580367,0.7900751238212887,0.7274337620031548,0.8462616062811245,0.8176577912572979,0.6431687392699015,0.7734125507051902,0.8585552551751194,0.8987670474773864,0.8834327259838393,0.9889281121731825,0.8187301087128329,0.8002385016612621,0.7195944669652012,0.8738457071070102,0.8695185984652053,0.8732815701990594,0.9085178031499714,0.8214220396545924,0.9379342446423994,0.5801068376068376,0.8221499347849168,0.8231882868226308,0.8993235234525759,0.7815580160556856,0.9773252692734842,0.8512725600072415,0.9013903829413635,0.7994394283499175,0.9116933809106271
Rdkit2D,0.892335177853643,0.8113619014083607,0.7470808170056833,0.8536583215798842,0.8248240113060271,0.5468521407829995,0.8489019175375466,0.8822992937541535,0.9050157124381805,0.8947890121647838,0.9913603083619569,0.8376332490953974,0.7954918797220484,0.7265065940513373,0.8475879681697698,0.8781329571541623,0.8778222171080363,0.9165056823259154,0.8248506982883865,0.9455694320395933,0.5171695156695156,0.8600487603438335,0.8115182916180192,0.9042366643361944,0.7950411549077645,0.9804647432326247,0.8684789698194193,0.9055820444222642,0.8051554772111308,0.9237185509478572
Morgan1024,0.8859050885105022,0.7609514063287909,0.7398524550867687,0.8135438932103021,0.8017519212337966,0.5356050338023772,0.7973314677219709,0.8373127988482457,0.8843761166957842,0.8767324601409525,0.9873453917682606,0.7976503550598724,0.7877137757477108,0.708312840092115,0.878183872735806,0.8698333299931196,0.864381864904586,0.9202116159932663,0.8091030770979522,0.9368256335541588,0.4765531813865147,0.806071493180035,0.7982682861374115,0.9039372825775194,0.7428832128932621,0.972626393815152,0.8273163399272508,0.9026339615892656,0.7569161966919569,0.876543128252373
Topological Torsion,0.8796058704904768,0.7772750302766911,0.7316512033807575,0.8344624119630568,0.792077391623844,0.3276712811224196,0.6303538332130275,0.8518207070709651,0.879853247537574,0.8709988626511942,0.9820221382107123,0.7948171471452208,0.7799988004036352,0.7093168437689978,0.85659468971615,0.8633231493647656,0.8578629176088638,0.9137114130588827,0.8048512538912558,0.9374696059807442,0.5729962013295348,0.8021198067417536,0.789392065115155,0.8854326606238738,0.7498376097677972,0.9701330089379951,0.8274758333557142,0.9034318710663175,0.7606365550386625,0.8847770308857845
MACCS,0.870233799391017,0.774461298810855,0.7240747549336857,0.8145302738877493,0.8074244834686064,0.5480903761797975,0.8690420486862254,0.8463915679770053,0.8780477220254003,0.8571205945136565,0.9913016582725938,0.8133522485168045,0.7844773585906972,0.6967249815790357,0.8405311874374967,0.8612443285678246,0.8711117067143729,0.898978925188018,0.7957736115347812,0.9321901659011631,0.6186742640075974,0.7660031242212809,0.7861954053758838,0.885262707510233,0.764947242379104,0.9736085976751596,0.8303841928229388,0.888567729230819,0.7676260615927113,0.8851609432063932
Avalon,0.8808685320703292,0.7734886571488928,0.7553726751910415,0.8104700236126522,0.8116561542893048,0.4661109990183757,0.7617712937536182,0.8572289954892621,0.9015581224603453,0.8838627661799358,0.9901032686210266,0.8239057174559452,0.7779358828228663,0.709342770984215,0.8522678000964492,0.8731285205413432,0.8637706425115391,0.9122275140125863,0.803880887442897,0.942668780127984,0.5697825261158596,0.8245054501676601,0.7913907595401981,0.9058733171406613,0.7556257024949472,0.9779102630618393,0.8294515981505984,0.9001453631785266,0.7885934583040619,0.8996140809940417
