method,CYP450_CYP2C19.csv,Cardiotoxicity_Cardiotoxicity-10.csv,Carcinogenicity_Carcinogenicity.csv,Endocrine Disruption_NR-aromatase.csv,Hepatotoxicity_Hepatotoxicity.csv,Developmental and Reproductive Toxicity_Developmental Toxicity.csv,Clinical Toxicity_Clinical toxicity.csv,Endocrine Disruption_SR-p53.csv,Endocrine Disruption_NR-AhR.csv,Endocrine Disruption_NR-AR-LBD.csv,Irritation and Corrosion_Eye Corrosion.csv,Endocrine Disruption_SR-ARE.csv,Cardiotoxicity_Cardiotoxicity-5.csv,Endocrine Disruption_NR-ER.csv,Cardiotoxicity_Cardiotoxicity-1.csv,CYP450_CYP2D6.csv,Respiratory Toxicity_Respiratory Toxicity.csv,CYP450_CYP3A4.csv,Endocrine Disruption_NR-ER-LBD.csv,CYP450_CYP1A2.csv,Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,Endocrine Disruption_NR-PPAR-gamma.csv,Endocrine Disruption_NR-AR.csv,Mutagenicity_Ames Mutagenicity.csv,Cardiotoxicity_Cardiotoxicity-30.csv,Irritation and Corrosion_Eye Irritation.csv,Endocrine Disruption_SR-ATAD5.csv,CYP450_CYP2C9.csv,Endocrine Disruption_SR-HSE.csv,Endocrine Disruption_SR-MMP.csv
NYAN_latent,0.8114964370546318,0.7278463305146674,0.6838825673612138,0.9533008329556392,0.7381370826010545,0.844950213371266,0.9378091872791519,0.9421443714099602,0.9020517928286852,0.9789100491502338,0.9473716759431046,0.8564010743061774,0.7298006054911786,0.8846688481952916,0.8300156592546195,0.8933387880060536,0.7799513667616973,0.840753048028037,0.9595449466278095,0.8697986577181208,0.883448275862069,0.9736504885053343,0.9732850417935325,0.8293337974129077,0.8390249504123604,0.933847141313127,0.965247772716879,0.839772816513117,0.9465698143664246,0.8877130044843049
Morgan512,0.7971496437054633,0.6981125378431987,0.6739520220678784,0.9536590951677042,0.7316282798384361,0.845945945945946,0.939929328621908,0.9418373897080595,0.8982305174207628,0.97752448629123,0.941019377447949,0.8560429722470904,0.7168597974736403,0.8792888593620795,0.843580749556321,0.8973901921551268,0.7650036335178042,0.8320441877683992,0.956847868200731,0.8464636035105834,0.8627586206896553,0.9733271255303949,0.9704117880040597,0.8216493121504636,0.846777325399311,0.9293040278747821,0.9651004973118716,0.8005288479422669,0.9465698143664245,0.8717488789237666
Atompair,0.8009501187648456,0.7155506837874517,0.6759469976848431,0.9527643204789215,0.7453414731908857,0.8408250355618776,0.9243816254416963,0.9438379818795524,0.9050784124647906,0.9796795167880619,0.9464667078952793,0.8564010743061772,0.7181751748616765,0.8846694136022786,0.8487650067856769,0.8992751618976756,0.7911957068589636,0.8434191223653684,0.9602938979948228,0.8646360351058338,0.876551724137931,0.9734889376168043,0.9735714698286178,0.8277153653354368,0.8280363294707171,0.9395736843953506,0.9648060548722801,0.8391624404296916,0.9467312348668282,0.8936322869955158
ECFP2,0.8138303559200478,0.715057915057915,0.7015422885572139,0.9511226965702668,0.7446852444611812,0.8512091038406828,0.9382120592615028,0.9438382823704548,0.9062629353243515,0.981777882832103,0.9495454545454546,0.8540259706438624,0.7135135135135136,0.8738965084759478,0.8447876447876448,0.9004801469386186,0.792468619246862,0.8399449035812673,0.957569669400602,0.8709154514278576,0.8558620689655172,0.9740081178287614,0.9721089620171928,0.8212823569464339,0.8316602316602315,0.9357441659531712,0.9639723610963374,0.8284770436730124,0.9472825418246046,0.8798242934289882
Mordred,0.8131116389548694,0.7336506942269548,0.6719619723166346,0.9538376657383132,0.7474455030370303,0.8672830725462305,0.9328621908127207,0.9444532480606384,0.9090594310655469,0.9787558476934921,0.951458462172748,0.8615935541629364,0.7420879006159307,0.8804667434677824,0.8539471761144168,0.8976728554856532,0.7919335904745932,0.8414640801619033,0.9607438977140642,0.868559628291172,0.862758620689655,0.9738121699928038,0.9715610070054707,0.8300080153691523,0.8370832028395447,0.9411533464175209,0.9631862421580453,0.8481091464447944,0.9476997578692494,0.892914798206278
Rdkit2D,0.821756298317618,0.7436293436293437,0.6796169154228855,0.9531139746868647,0.7553147555388188,0.8725462304409672,0.9346558643143789,0.945860781477873,0.9114173417365095,0.9799086027370694,0.9540909090909091,0.8639480717334053,0.7335907335907336,0.8842632890029419,0.8525096525096526,0.9013627402898383,0.7907949790794978,0.8527089072543618,0.9630252486962115,0.8806864957820858,0.8696551724137931,0.9741709821022985,0.9734163626690986,0.8334780496082754,0.8432432432432433,0.9462227747739295,0.9644182356486898,0.8524029771398192,0.949397289090873,0.9001263024426137
Morgan1024,0.8102612826603325,0.7020022966906775,0.678872961923058,0.9538381461972476,0.7393636111368052,0.8512091038406828,0.939929328621908,0.9429143127849826,0.9009381581952445,0.9786022384082431,0.9432848897134611,0.8562220232766338,0.733043115147719,0.8794572092924637,0.8435849253575529,0.8987093912860493,0.7754737548213986,0.8334663705019991,0.9580465946801879,0.8592669075890551,0.8696551724137931,0.9736502273074545,0.9712734443976864,0.8270420561512051,0.8441966802380205,0.9194286528099138,0.9651004973118716,0.8084587254743927,0.946731234866828,0.874439461883408
Topological Torsion,0.8059857482185274,0.7181563837561332,0.6798827643958425,0.9524065387257907,0.7284777849720964,0.8567567567567569,0.9257950530035337,0.9421452004500503,0.9053961225163041,0.979987801267247,0.9410214388785818,0.8581915846016115,0.7375675957824408,0.8749176979454523,0.8474830358074955,0.9007821965164974,0.7807172005142825,0.8371103410829756,0.9575969318711431,0.8657718120805369,0.869655172413793,0.9742968226583937,0.9704115817181144,0.8069551048450272,0.8370957302432404,0.9269352176644334,0.9659839330010696,0.8308253871811722,0.9435028248587571,0.8864573991031388
MACCS,0.8048456057007126,0.7200835160246373,0.672981626520861,0.9511543025898337,0.7404224092745044,0.8460881934566146,0.9385159010600705,0.9446073310830817,0.9058750983327833,0.9773706401373838,0.9591682127396414,0.8589077887197852,0.7278379789122038,0.871387438070266,0.8429293245641507,0.90464509925181,0.7911649617083123,0.840486697270349,0.9583463324517517,0.8671140939597315,0.8418390804597701,0.9731653134439855,0.9691185814128112,0.8323002110168612,0.8325461948011273,0.9425345996121568,0.9646591045785421,0.8322483580707694,0.9468926553672319,0.892914798206278
Avalon,0.8132066508313539,0.7149180499008247,0.6967440027584848,0.950976052325181,0.737962568988376,0.8298719772403983,0.9293286219081273,0.9430681589388288,0.9133596822899485,0.9801418842896903,0.960988455988456,0.8642793196060877,0.7343313498277482,0.872060272384816,0.8532915753210147,0.9053047210148,0.7896696293811839,0.8457299965447456,0.9613428117401973,0.8762003097573569,0.8970114942528735,0.973488545819985,0.9691189939847019,0.8332439707520816,0.8390291262135923,0.9449041901915416,0.9640700029585126,0.8420089505292612,0.9456012913640031,0.8957847533632286
