method,NYAN_latent,Morgan512,Atompair,ECFP2,Mordred,Rdkit2D,Morgan1024,Topological Torsion,MACCS,Avalon
CYP450_CYP2C19.csv,1,8,6,9,4,3,2,5,10,7
Cardiotoxicity_Cardiotoxicity-10.csv,3,6,10,4,2,1,5,9,7,8
Carcinogenicity_Carcinogenicity.csv,8,4,6,1,10,3,5,7,9,2
Endocrine Disruption_NR-aromatase.csv,1,6,4,10,3,2,7,5,9,8
Hepatotoxicity_Hepatotoxicity.csv,1,9,7,5,2,3,8,10,6,4
Developmental and Reproductive Toxicity_Developmental Toxicity.csv,3,6,8,7,1,2,5,10,4,9
Clinical Toxicity_Clinical toxicity.csv,7,5,10,1,6,2,4,9,3,8
Endocrine Disruption_SR-p53.csv,2,10,6,8,3,1,7,5,9,4
Endocrine Disruption_NR-AhR.csv,3,8,5,7,2,1,6,9,10,4
Endocrine Disruption_NR-AR-LBD.csv,2,7,8,9,3,1,5,6,10,4
Irritation and Corrosion_Eye Corrosion.csv,7,8,5,10,4,1,6,9,3,2
Endocrine Disruption_SR-ARE.csv,3,8,5,10,4,1,7,9,6,2
Cardiotoxicity_Cardiotoxicity-5.csv,1,6,7,9,2,3,5,10,4,8
Endocrine Disruption_NR-ER.csv,2,9,3,7,4,1,6,5,10,8
Cardiotoxicity_Cardiotoxicity-1.csv,4,2,8,10,3,5,1,7,9,6
CYP450_CYP2D6.csv,1,7,6,10,4,2,5,8,9,3
Respiratory Toxicity_Respiratory Toxicity.csv,4,8,3,6,2,1,5,7,9,10
CYP450_CYP3A4.csv,4,5,7,6,9,1,2,3,10,8
Endocrine Disruption_NR-ER-LBD.csv,4,6,1,8,2,3,5,7,10,9
CYP450_CYP1A2.csv,4,9,3,8,5,1,7,6,10,2
Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,6,9,4,3,10,8,7,2,1,5
Endocrine Disruption_NR-PPAR-gamma.csv,6,8,2,9,4,1,5,7,10,3
Endocrine Disruption_NR-AR.csv,2,5,4,7,1,3,6,8,9,10
Mutagenicity_Ames Mutagenicity.csv,2,5,6,8,7,1,4,9,10,3
Cardiotoxicity_Cardiotoxicity-30.csv,2,7,10,8,3,1,6,9,5,4
Irritation and Corrosion_Eye Irritation.csv,8,6,7,4,2,1,5,9,10,3
Endocrine Disruption_SR-ATAD5.csv,3,7,4,9,2,1,5,6,10,8
CYP450_CYP2C9.csv,4,6,8,9,5,7,2,1,10,3
Endocrine Disruption_SR-HSE.csv,4,8,5,2,3,1,7,9,10,6
Endocrine Disruption_SR-MMP.csv,3,8,5,10,2,1,7,6,9,4
