method,CYP450_CYP2C19.csv,Cardiotoxicity_Cardiotoxicity-10.csv,Carcinogenicity_Carcinogenicity.csv,Endocrine Disruption_NR-aromatase.csv,Hepatotoxicity_Hepatotoxicity.csv,Developmental and Reproductive Toxicity_Developmental Toxicity.csv,Clinical Toxicity_Clinical toxicity.csv,Endocrine Disruption_SR-p53.csv,Endocrine Disruption_NR-AhR.csv,Endocrine Disruption_NR-AR-LBD.csv,Irritation and Corrosion_Eye Corrosion.csv,Endocrine Disruption_SR-ARE.csv,Cardiotoxicity_Cardiotoxicity-5.csv,Endocrine Disruption_NR-ER.csv,Cardiotoxicity_Cardiotoxicity-1.csv,CYP450_CYP2D6.csv,Respiratory Toxicity_Respiratory Toxicity.csv,CYP450_CYP3A4.csv,Endocrine Disruption_NR-ER-LBD.csv,CYP450_CYP1A2.csv,Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,Endocrine Disruption_NR-PPAR-gamma.csv,Endocrine Disruption_NR-AR.csv,Mutagenicity_Ames Mutagenicity.csv,Cardiotoxicity_Cardiotoxicity-30.csv,Irritation and Corrosion_Eye Irritation.csv,Endocrine Disruption_SR-ATAD5.csv,CYP450_CYP2C9.csv,Endocrine Disruption_SR-HSE.csv,Endocrine Disruption_SR-MMP.csv
NYAN_latent,2,3,5,1,5,2,6,2,3,2,8,2,2,1,4,2,4,8,4,4,7,5,2,4,2,7,4,4,4,2
Morgan512,9,10,4,6,9,6,5,10,8,9,9,10,7,8,3,9,10,4,6,10,9,8,5,7,10,9,10,9,10,9
Atompair,7,5,6,4,6,7,10,5,5,5,5,5,5,4,5,6,6,7,1,5,5,4,4,5,5,5,3,8,6,5
ECFP2,3,8,2,10,3,8,2,8,6,8,7,9,10,9,10,7,2,3,10,3,6,9,7,8,8,4,7,7,2,10
Mordred,5,2,9,3,2,1,7,3,4,4,4,4,1,3,2,5,3,9,3,6,2,3,1,6,3,3,2,5,3,3
Rdkit2D,1,1,3,2,1,4,3,1,1,1,1,1,3,2,8,1,1,2,2,1,8,1,3,2,1,1,1,1,1,1
Morgan1024,4,9,7,8,8,5,4,9,7,6,6,7,4,7,1,4,7,1,5,8,10,6,6,3,9,8,9,3,9,8
Topological Torsion,8,4,8,5,10,10,9,6,9,7,10,8,8,6,6,8,9,5,7,7,3,7,9,9,7,10,8,2,8,7
MACCS,10,6,10,7,7,3,1,7,10,10,2,6,6,10,9,10,5,10,9,9,1,10,10,10,4,6,5,10,7,6
Avalon,6,7,1,9,4,9,8,4,2,3,3,3,9,5,7,3,8,6,8,2,4,2,8,1,6,2,6,6,5,4
