method,CYP450_CYP2C19.csv,Cardiotoxicity_Cardiotoxicity-10.csv,Carcinogenicity_Carcinogenicity.csv,Endocrine Disruption_NR-aromatase.csv,Hepatotoxicity_Hepatotoxicity.csv,Developmental and Reproductive Toxicity_Developmental Toxicity.csv,Clinical Toxicity_Clinical toxicity.csv,Endocrine Disruption_SR-p53.csv,Endocrine Disruption_NR-AhR.csv,Endocrine Disruption_NR-AR-LBD.csv,Irritation and Corrosion_Eye Corrosion.csv,Endocrine Disruption_SR-ARE.csv,Cardiotoxicity_Cardiotoxicity-5.csv,Endocrine Disruption_NR-ER.csv,Cardiotoxicity_Cardiotoxicity-1.csv,CYP450_CYP2D6.csv,Respiratory Toxicity_Respiratory Toxicity.csv,CYP450_CYP3A4.csv,Endocrine Disruption_NR-ER-LBD.csv,CYP450_CYP1A2.csv,Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,Endocrine Disruption_NR-PPAR-gamma.csv,Endocrine Disruption_NR-AR.csv,Mutagenicity_Ames Mutagenicity.csv,Cardiotoxicity_Cardiotoxicity-30.csv,Irritation and Corrosion_Eye Irritation.csv,Endocrine Disruption_SR-ATAD5.csv,CYP450_CYP2C9.csv,Endocrine Disruption_SR-HSE.csv,Endocrine Disruption_SR-MMP.csv
NYAN_latent,5,3,3,4,7,8,5,9,8,6,6,6,6,2,10,10,8,5,5,4,2,5,3,5,5,7,2,4,7,6
Morgan512,10,10,8,3,9,7,2,10,10,9,10,9,9,6,8,9,10,10,10,10,7,9,7,8,1,8,4,10,8,10
Atompair,9,6,7,6,3,9,10,5,7,5,7,7,8,1,4,6,3,3,4,8,3,7,1,6,10,5,5,5,5,3
ECFP2,2,7,1,9,4,5,4,4,4,1,5,10,10,8,6,5,1,7,9,3,9,3,4,9,9,6,9,8,3,8
Mordred,4,2,10,2,2,2,7,3,3,7,4,3,1,4,1,8,2,4,3,5,8,4,5,4,7,4,10,2,2,5
Rdkit2D,1,1,5,5,1,1,6,1,2,4,3,2,4,3,3,3,5,1,1,1,5,2,2,1,3,1,7,1,1,1
Morgan1024,6,9,6,1,6,4,1,7,9,8,8,8,5,5,7,7,9,9,7,9,4,6,6,7,2,10,3,9,6,9
Topological Torsion,7,5,4,7,10,3,9,8,6,3,9,5,2,7,5,4,7,8,8,7,6,1,8,10,6,9,1,7,10,7
MACCS,8,4,9,8,5,6,3,2,5,10,2,4,7,10,9,2,4,6,6,6,10,10,10,3,8,3,6,6,4,4
Avalon,3,8,2,10,8,10,8,6,1,2,1,1,3,9,2,1,6,2,2,2,1,8,9,2,4,2,8,3,9,2
