method,NYAN_latent,Morgan512,Atompair,ECFP2,Mordred,Rdkit2D,Morgan1024,Topological Torsion,MACCS,Avalon
CYP450_CYP2C19.csv,5,10,9,2,4,1,6,7,8,3
Cardiotoxicity_Cardiotoxicity-10.csv,3,10,6,7,2,1,9,5,4,8
Carcinogenicity_Carcinogenicity.csv,3,8,7,1,10,5,6,4,9,2
Endocrine Disruption_NR-aromatase.csv,4,3,6,9,2,5,1,7,8,10
Hepatotoxicity_Hepatotoxicity.csv,7,9,3,4,2,1,6,10,5,8
Developmental and Reproductive Toxicity_Developmental Toxicity.csv,8,7,9,5,2,1,4,3,6,10
Clinical Toxicity_Clinical toxicity.csv,5,2,10,4,7,6,1,9,3,8
Endocrine Disruption_SR-p53.csv,9,10,5,4,3,1,7,8,2,6
Endocrine Disruption_NR-AhR.csv,8,10,7,4,3,2,9,6,5,1
Endocrine Disruption_NR-AR-LBD.csv,6,9,5,1,7,4,8,3,10,2
Irritation and Corrosion_Eye Corrosion.csv,6,10,7,5,4,3,8,9,2,1
Endocrine Disruption_SR-ARE.csv,6,9,7,10,3,2,8,5,4,1
Cardiotoxicity_Cardiotoxicity-5.csv,6,9,8,10,1,4,5,2,7,3
Endocrine Disruption_NR-ER.csv,2,6,1,8,4,3,5,7,10,9
Cardiotoxicity_Cardiotoxicity-1.csv,10,8,4,6,1,3,7,5,9,2
CYP450_CYP2D6.csv,10,9,6,5,8,3,7,4,2,1
Respiratory Toxicity_Respiratory Toxicity.csv,8,10,3,1,2,5,9,7,4,6
CYP450_CYP3A4.csv,5,10,3,7,4,1,9,8,6,2
Endocrine Disruption_NR-ER-LBD.csv,5,10,4,9,3,1,7,8,6,2
CYP450_CYP1A2.csv,4,10,8,3,5,1,9,7,6,2
Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,2,7,3,9,8,5,4,6,10,1
Endocrine Disruption_NR-PPAR-gamma.csv,5,9,7,3,4,2,6,1,10,8
Endocrine Disruption_NR-AR.csv,3,7,1,4,5,2,6,8,10,9
Mutagenicity_Ames Mutagenicity.csv,5,8,6,9,4,1,7,10,3,2
Cardiotoxicity_Cardiotoxicity-30.csv,5,1,10,9,7,3,2,6,8,4
Irritation and Corrosion_Eye Irritation.csv,7,8,5,6,4,1,10,9,3,2
Endocrine Disruption_SR-ATAD5.csv,2,4,5,9,10,7,3,1,6,8
CYP450_CYP2C9.csv,4,10,5,8,2,1,9,7,6,3
Endocrine Disruption_SR-HSE.csv,7,8,5,3,2,1,6,10,4,9
Endocrine Disruption_SR-MMP.csv,6,10,3,8,5,1,9,7,4,2
