method,ExtraTree,DF,XGB,RF,SVM,Adaboost,GBDT,LGB
CYP450_CYP2C19.csv,3,2,4,5,1,8,6,7
Cardiotoxicity_Cardiotoxicity-10.csv,2,3,8,4,1,6,5,7
Carcinogenicity_Carcinogenicity.csv,1,2,8,4,3,5,6,7
Endocrine Disruption_NR-aromatase.csv,3,1,6,4,2,5,8,7
Hepatotoxicity_Hepatotoxicity.csv,1,2,7,3,4,8,5,6
Developmental and Reproductive Toxicity_Developmental Toxicity.csv,6,4,3,5,2,8,7,1
Clinical Toxicity_Clinical toxicity.csv,5,8,6,4,3,1,7,2
Endocrine Disruption_SR-p53.csv,2,4,5,3,1,8,7,6
Endocrine Disruption_NR-AhR.csv,4,1,3,6,2,8,5,7
Endocrine Disruption_NR-AR-LBD.csv,3,2,6,5,1,4,8,7
Irritation and Corrosion_Eye Corrosion.csv,3,1,7,6,2,4,5,8
Endocrine Disruption_SR-ARE.csv,2,3,6,4,1,8,5,7
Cardiotoxicity_Cardiotoxicity-5.csv,3,2,7,4,1,8,5,6
Endocrine Disruption_NR-ER.csv,4,1,3,7,2,8,5,6
Cardiotoxicity_Cardiotoxicity-1.csv,3,2,8,4,1,6,5,7
CYP450_CYP2D6.csv,4,2,3,6,1,8,5,7
Respiratory Toxicity_Respiratory Toxicity.csv,1,3,7,4,2,8,5,6
CYP450_CYP3A4.csv,3,1,5,4,2,8,6,7
Endocrine Disruption_NR-ER-LBD.csv,3,1,4,5,2,6,8,7
CYP450_CYP1A2.csv,3,2,4,6,1,8,5,7
Developmental and Reproductive Toxicity_Reproductive Toxicity.csv,6,5,4,3,2,8,7,1
Endocrine Disruption_NR-PPAR-gamma.csv,3,6,4,5,1,7,8,2
Endocrine Disruption_NR-AR.csv,2,3,6,4,1,5,8,7
Mutagenicity_Ames Mutagenicity.csv,1,2,5,4,3,7,6,8
Cardiotoxicity_Cardiotoxicity-30.csv,3,2,7,4,1,6,8,5
Irritation and Corrosion_Eye Irritation.csv,3,1,5,7,2,6,4,8
Endocrine Disruption_SR-ATAD5.csv,2,3,7,4,1,5,8,6
CYP450_CYP2C9.csv,3,2,4,6,1,7,5,8
Endocrine Disruption_SR-HSE.csv,3,1,6,5,2,7,8,4
Endocrine Disruption_SR-MMP.csv,3,2,6,4,1,7,5,8
